online_order,book_table,votes,location,rest_type,cost
0,0,244,1,20,800
1,0,771,1,20,450
1,0,1647,1,20,600
0,1,808,1,20,850
0,0,424,1,13,450
1,0,135,1,20,800
1,0,918,1,16,800
1,0,90,1,13,650
1,0,519,1,20,900
1,0,105,1,20,700
1,0,133,1,13,800
1,0,144,1,13,700
0,0,93,1,13,300
1,0,42,1,62,300
1,0,247,1,20,500
1,0,62,1,13,400
1,0,160,1,20,700
1,0,129,1,20,600
0,0,62,1,4,800
0,0,283,1,20,600
1,0,59,1,20,750
1,0,179,1,20,600
0,0,62,1,62,150
0,0,98,1,4,800
0,0,128,1,20,850
1,0,45,1,20,800
1,0,41,75,44,400
1,0,405,1,20,750
1,0,388,1,20,650
0,0,651,1,62,100
1,0,734,1,62,200
0,0,1047,1,62,450
1,0,505,1,62,450
1,0,264,1,62,200
1,0,286,1,62,500
0,0,343,1,62,100
0,0,70,1,62,500
1,0,70,1,62,100
1,0,237,1,62,200
1,0,201,1,62,300
1,0,506,1,62,500
0,0,520,1,62,300
0,0,88,1,62,300
1,0,136,1,62,600
0,0,88,1,62,250
0,0,189,1,62,300
0,0,39,1,62,350
1,0,540,1,62,800
0,0,71,1,62,250
1,0,88,1,62,350
1,0,87,1,62,600
1,0,415,1,62,500
1,0,128,1,62,300
0,0,94,1,62,100
0,0,65,1,62,300
0,0,52,1,62,300
1,0,290,1,62,450
1,0,59,1,62,200
0,0,130,1,62,200
1,0,80,1,62,250
1,0,441,1,62,400
1,0,84,1,62,250
0,0,42,1,62,300
1,0,213,1,62,400
0,0,725,30,62,350
1,0,750,4,20,500
0,0,166,4,20,600
0,0,4460,4,62,150
0,0,153,4,20,350
1,0,469,4,20,750
1,0,364,4,20,550
1,0,286,4,20,600
1,0,527,4,20,500
1,0,101,4,62,150
1,0,558,4,62,150
0,0,148,4,22,550
0,0,377,4,57,1100
0,0,206,4,62,450
0,0,100,4,62,300
1,0,444,4,62,100
0,0,133,4,20,650
1,0,219,4,13,600
0,0,253,4,62,250
0,0,61,4,20,600
1,0,155,54,20,400
1,0,233,30,20,800
1,0,264,54,20,750
0,0,238,4,62,600
1,0,176,4,20,800
1,0,93,4,62,200
0,0,124,4,62,300
1,0,275,4,62,100
0,0,254,4,62,150
0,0,177,4,62,100
1,0,132,4,62,200
1,0,74,4,62,300
1,0,172,79,20,700
1,0,543,4,62,300
0,0,52,4,62,300
0,0,217,4,20,450
0,0,111,4,20,700
1,0,133,4,62,200
0,0,39,30,62,250
0,0,64,4,62,200
0,0,148,4,62,150
0,0,55,75,44,300
0,1,977,1,46,1300
0,0,868,1,57,1200
0,0,62,1,4,800
0,0,98,1,4,800
0,0,377,4,57,1100
1,1,2487,3,57,900
1,1,1964,3,20,1000
1,0,3178,3,20,750
1,0,455,3,20,550
0,1,3845,28,20,1600
0,0,353,28,20,1200
0,1,1234,28,20,800
1,1,1538,28,20,1000
1,1,756,28,20,1000
1,1,347,28,20,1000
0,1,165,28,20,1000
0,0,177,28,20,950
1,0,102,0,20,600
0,1,200,3,13,700
1,0,102,3,13,450
1,0,171,3,13,300
1,0,37,3,13,400
1,0,40,3,41,400
0,0,125,3,13,500
1,0,49,3,13,600
0,0,69,3,14,700
0,0,78,3,13,350
1,0,48,3,65,650
1,0,46,28,13,600
0,0,129,28,13,600
1,1,727,28,13,800
0,0,521,28,13,550
1,0,203,28,65,650
1,1,4381,28,22,600
1,0,131,28,13,400
1,0,46,28,13,450
0,0,48,28,13,550
1,0,127,28,13,700
1,0,85,28,13,500
1,0,1178,0,29,500
1,0,335,0,20,800
1,0,254,0,20,800
1,0,63,28,72,300
1,0,244,0,62,400
1,0,255,0,62,250
1,0,549,0,30,400
1,0,775,0,62,300
1,0,208,28,72,300
1,0,739,28,29,500
1,0,310,3,62,400
1,0,126,0,62,150
1,0,427,3,72,500
1,0,197,0,62,300
1,0,601,0,62,700
1,0,488,28,72,400
1,0,396,3,62,400
1,0,474,0,62,450
1,0,172,0,62,300
1,0,175,3,62,250
1,0,939,0,20,600
1,0,173,0,62,250
1,0,77,3,62,400
1,0,326,0,13,200
1,0,212,28,62,350
1,0,464,0,62,300
1,0,628,3,29,450
1,0,518,28,20,400
1,0,70,3,30,350
1,0,62,28,62,300
1,0,819,30,30,400
1,1,1964,3,20,1000
1,0,138,3,29,650
1,0,455,3,20,550
1,0,181,3,41,600
1,0,43,28,62,300
1,0,159,28,62,750
1,0,166,3,62,600
1,0,128,3,72,400
1,0,126,0,62,300
1,0,952,30,62,400
1,0,472,3,62,600
1,1,739,3,20,800
1,0,255,0,20,500
1,0,1974,28,20,800
1,1,1428,28,20,800
1,0,332,28,62,300
1,1,199,28,62,700
1,0,437,28,62,400
1,0,207,3,20,700
1,1,4381,28,22,600
1,0,55,3,62,300
1,0,597,3,62,400
1,0,102,0,20,600
1,0,189,0,62,300
1,0,131,28,13,400
1,0,373,28,20,750
1,0,435,0,20,650
1,0,292,0,20,700
1,0,137,3,62,300
1,0,133,3,20,500
1,0,37,28,72,250
1,0,170,28,62,200
1,0,794,3,20,550
1,0,404,3,20,1000
1,1,561,3,20,900
1,1,486,0,13,700
1,0,320,3,20,650
1,0,237,28,30,500
1,1,1227,3,20,900
1,0,95,3,29,600
1,1,1538,28,20,1000
1,0,110,3,20,800
1,0,381,0,62,250
1,0,251,3,29,500
1,0,353,28,62,400
1,0,205,28,29,450
1,0,183,0,62,250
1,0,99,3,30,400
1,0,260,28,62,300
1,0,355,0,62,400
1,0,83,0,62,400
1,0,321,28,62,400
1,0,362,0,20,600
1,1,2166,28,60,1200
1,0,182,28,69,400
1,1,500,3,20,1000
1,0,532,3,20,800
1,1,551,3,20,600
1,0,421,3,20,700
1,0,662,28,20,650
1,0,54,3,62,500
1,0,92,0,62,300
1,0,36,28,29,600
1,0,2350,28,20,800
1,0,49,3,13,600
1,0,184,0,62,400
1,1,225,3,20,700
1,0,35,0,32,300
1,0,869,0,29,500
1,0,153,28,62,200
1,0,139,3,62,400
1,0,181,3,29,500
1,0,669,0,20,500
1,0,168,3,62,600
1,0,170,3,62,250
1,0,112,28,62,200
1,0,58,0,62,300
1,0,167,30,62,400
1,0,85,28,62,300
1,0,473,0,62,600
1,0,217,28,20,500
1,0,192,0,29,450
1,1,611,0,21,1500
1,0,166,3,29,750
1,0,46,28,13,600
1,1,2233,3,21,1200
1,0,107,0,62,300
1,0,306,0,29,600
1,1,756,28,20,1000
1,1,4309,28,52,1600
1,0,212,3,62,400
1,0,153,3,62,600
1,0,827,0,20,500
1,0,256,3,62,500
1,0,40,3,41,400
1,0,73,3,72,400
1,0,169,28,13,600
1,0,586,28,20,700
1,0,221,0,70,400
1,0,177,0,62,500
1,0,347,28,20,600
1,0,347,3,62,800
1,0,385,28,62,600
1,0,1305,28,20,750
1,0,122,3,20,500
1,0,539,28,62,300
1,1,681,3,20,800
1,0,106,28,29,350
1,1,1025,3,20,1000
1,0,132,3,12,250
1,0,289,3,62,400
1,0,407,28,20,500
1,0,201,3,62,250
1,0,37,3,13,400
1,0,203,28,65,650
1,0,320,28,20,600
1,1,257,3,20,800
1,0,46,28,62,450
1,0,102,3,13,450
1,1,237,28,22,600
1,0,108,3,62,600
1,0,34,28,20,750
1,0,144,3,62,350
1,1,1028,28,21,1100
1,0,84,3,29,600
1,0,181,28,20,550
1,0,128,0,30,230
1,0,171,28,62,250
1,0,200,28,62,400
1,0,114,3,20,1000
1,0,146,28,20,600
1,0,248,0,32,500
1,1,583,28,21,1200
1,0,42,28,62,500
1,0,171,3,13,300
1,0,79,28,62,500
1,0,46,28,13,450
0,0,1278,3,20,800
1,0,276,0,66,250
1,0,64,28,20,750
1,0,69,0,30,300
1,0,288,46,62,500
1,0,676,3,45,500
1,0,140,28,62,100
1,0,65,28,9,600
1,1,448,28,20,700
1,0,203,0,14,500
1,0,166,3,62,600
1,1,1320,28,20,1200
1,0,116,28,20,400
1,0,288,3,12,400
1,0,85,28,13,500
1,0,124,0,62,400
1,0,323,3,41,800
1,0,51,3,62,300
1,0,229,28,20,1000
1,0,102,3,62,350
1,0,76,28,62,150
1,0,42,28,30,250
1,0,239,28,30,500
1,0,55,28,62,200
1,0,178,28,30,400
1,0,224,3,62,400
1,0,199,0,62,300
1,1,1010,28,58,1300
1,1,72,28,62,400
0,1,1000,3,21,800
1,0,613,0,13,600
1,0,42,0,62,250
1,0,194,0,62,400
0,0,423,3,30,150
1,0,158,30,20,700
1,1,1403,28,26,1100
1,0,153,28,41,400
1,1,90,3,20,800
1,0,140,0,20,600
1,0,463,0,13,500
1,0,384,3,72,600
0,0,177,3,62,400
1,0,70,0,62,350
1,1,790,28,20,1300
1,0,92,28,62,300
0,0,131,3,69,400
1,0,89,28,30,400
1,0,57,30,62,400
1,0,92,3,41,1100
1,0,57,28,20,650
1,0,133,28,29,300
0,0,164,3,0,250
1,0,161,28,29,500
1,0,308,30,13,750
1,0,208,28,20,650
1,0,116,3,20,400
1,0,48,3,65,650
1,0,127,28,13,700
1,1,727,28,13,800
0,0,125,3,13,500
1,0,170,3,20,600
0,0,89,3,20,550
1,0,507,28,19,1000
1,0,254,0,20,550
1,0,334,3,20,500
0,0,69,3,14,700
1,1,842,28,21,1100
1,0,88,28,0,500
1,0,283,0,62,350
1,1,293,28,20,500
0,0,106,3,20,450
1,0,61,0,13,650
0,0,80,3,20,650
1,1,347,28,20,1000
1,0,186,3,20,450
0,0,93,3,72,800
0,0,183,3,29,450
0,0,85,3,62,250
0,0,66,3,20,800
0,0,58,3,62,250
0,0,162,3,20,500
0,0,67,3,41,300
0,0,90,3,20,750
0,0,96,3,20,500
1,0,101,3,20,500
1,1,560,28,20,800
1,0,243,28,20,450
1,0,148,3,62,250
0,0,291,3,20,250
1,1,1337,3,46,1700
0,0,65,3,30,200
1,0,43,28,20,600
1,0,46,0,20,400
1,0,46,0,30,150
1,0,117,28,62,150
1,1,2487,3,57,900
1,0,66,3,20,600
0,1,1187,28,26,1200
0,0,353,28,20,1200
0,1,1212,28,20,1200
1,0,115,0,20,550
1,0,952,28,20,400
0,0,915,28,20,600
1,0,135,0,20,500
0,1,466,28,20,700
0,0,115,28,62,350
0,0,61,28,72,400
0,0,86,28,30,250
0,0,193,28,20,500
0,0,82,28,47,1000
0,0,115,28,62,200
0,0,28,0,20,500
0,0,63,28,3,600
0,0,44,0,29,500
0,0,65,28,20,750
0,0,76,0,62,500
0,0,75,0,62,400
0,0,55,28,20,800
0,0,48,28,20,800
0,0,39,28,72,500
1,0,193,28,20,400
1,0,63,3,62,200
1,0,186,28,13,500
1,0,28,3,72,400
0,0,423,3,30,150
0,0,102,3,0,400
0,0,131,3,69,400
0,0,164,3,0,250
1,0,102,3,13,450
1,0,70,3,30,350
1,0,188,3,30,400
0,0,46,3,35,300
1,0,677,3,45,500
1,0,40,3,41,400
1,0,99,3,30,400
0,0,93,3,72,800
0,0,69,3,14,700
1,0,41,3,29,500
0,0,65,3,30,200
1,1,448,28,20,700
1,0,46,28,13,600
1,0,132,28,29,300
1,0,237,28,30,500
1,0,239,28,30,500
0,0,521,28,13,550
0,0,319,28,30,500
1,0,89,28,30,400
0,0,63,28,3,600
0,0,231,28,30,800
1,0,1179,0,29,500
1,0,796,3,20,550
1,1,500,3,20,1000
1,1,681,3,20,800
1,0,207,3,20,700
1,0,532,3,20,800
1,0,421,3,20,700
1,0,319,3,20,650
1,1,1025,3,20,1000
1,1,225,3,20,700
0,1,200,3,13,700
1,1,739,3,20,800
0,0,149,3,20,400
1,0,102,3,13,450
1,0,110,3,20,800
1,0,171,3,13,300
1,0,37,3,13,400
1,1,1227,3,20,900
0,0,124,3,13,500
1,0,335,3,20,500
1,0,49,3,13,600
0,0,89,3,20,550
1,0,425,3,20,400
1,0,101,3,20,500
1,0,133,3,20,500
0,0,160,3,20,850
1,0,186,3,20,450
0,0,69,3,14,700
0,0,311,3,20,400
1,0,288,3,12,400
1,1,551,3,20,600
1,0,122,3,20,500
0,0,106,3,20,450
0,1,200,3,20,1000
1,0,66,3,20,600
